SpeciesID,Type,IsVertibrate,IsMammal,DNAtype,Ncodons,SpeciesName,Domain,Kingdom,Phylum,Class,Order,Family,Genus,RawGenomeKmeans,NMFGenomeKmeans,RawGenomeSpec
418444,plant,0,0,0,1342,Populus tomentosa x P. bolleana x P. tomentosa,,,,,,,,2,5,1
328805,plant,0,0,0,1286,Populus tomentosa x P. bolleana x P. tomentosa var. truncata,,,,,,,,2,5,1
413882,bacteria,0,0,0,10966,[Polyangium] brachysporum,eukaryota,fungi,ascomycota,sordariomycetes,trichosphaeriales,trichosphaeriaceae,brachysporium,1,6,0
45372,plant,0,0,0,20592,Abies alba,eukaryota,plantae,tracheophyta,pinopsida,pinales,pinaceae,abies,3,4,0
46611,plant,0,0,0,10033,Abies grandis,eukaryota,plantae,tracheophyta,pinopsida,pinales,pinaceae,abies,2,0,1
3816,plant,0,0,0,1111,Abrus precatorius,eukaryota,plantae,tracheophyta,magnoliopsida,fabales,fabaceae,abrus,2,0,1
4829,plant,0,0,0,1019,Absidia glauca,eukaryota,fungi,mucoromycota,mucoromycetes,mucorales,cunninghamellaceae,absidia,2,0,1
224085,plant,0,0,0,2561,Acacia mangium,eukaryota,plantae,tracheophyta,magnoliopsida,fabales,fabaceae,acacia,2,5,1
54177,plant,0,0,0,1764,Acacia mangium x Acacia auriculiformis,eukaryota,plantae,tracheophyta,magnoliopsida,fabales,fabaceae,acacia,3,2,0
5755,invertebrate,0,0,0,22256,Acanthamoeba castellanii,eukaryota,protozoa,amoebozoa,lobosa,amoebida,acanthamoebidae,acanthamoeba,1,1,0
65661,invertebrate,0,0,0,1454,Acanthamoeba healyi,eukaryota,,discosea,discosea,longamoebia,acanthamoebidae,acanthamoeba,3,3,0
6277,invertebrate,0,0,0,6151,Acanthocheilonema viteae,eukaryota,metazoa,nematoda,chromadorea,rhabditida,onchocercidae,acanthocheilonema,0,0,1
86203,vertebrate,1,0,0,4258,Acanthogobius flavimanus,eukaryota,animalia,chordata,actinopterygii,perciformes,gobiidae,acanthogobius,3,4,0
267130,vertebrate,1,0,0,1666,Acanthogobius hasta,eukaryota,animalia,chordata,actinopterygii,perciformes,gobiidae,acanthogobius,3,2,1
8177,vertebrate,1,0,0,1134,Acanthopagrus latus,eukaryota,animalia,chordata,actinopterygii,perciformes,sparidae,acanthopagrus,3,4,0
72011,vertebrate,1,0,0,16193,Acanthopagrus schlegelii,eukaryota,animalia,chordata,actinopterygii,perciformes,sparidae,acanthopagrus,3,2,0
