SpeciesID,Type,IsVertibrate,IsMammal,DNAtype,Ncodons,SpeciesName,Domain,Kingdom,Phylum,Class,Order,Family,Genus,RawMitKmeans,NMFMitKmeans,RawMitSpec,NMFMitSpec
278977,vertebrate,1,0,1,2121, Abronia graminea,eukaryota,animalia,chordata,reptilia,squamata,anguidae,abronia,1,0,0,1
192871,vertebrate,1,0,1,2364, Abudefduf vaigiensis,eukaryota,animalia,chordata,actinopterygii,perciformes,pomacentridae,abudefduf,3,3,1,0
5755,invertebrate,0,0,1,11323, Acanthamoeba castellanii,eukaryota,protozoa,amoebozoa,lobosa,amoebida,acanthamoebidae,acanthamoeba,0,1,2,0
339859,invertebrate,0,0,1,2703, Acanthaster brevispinus,eukaryota,animalia,echinodermata,asteroidea,valvatida,acanthasteridae,acanthaster,3,4,1,0
133434,invertebrate,0,0,1,2703, Acanthaster planci,eukaryota,animalia,echinodermata,asteroidea,valvatida,acanthasteridae,acanthaster,3,4,1,0
57068,vertebrate,1,0,1,3529, Acanthisitta chloris,eukaryota,animalia,chordata,aves,passeriformes,acanthisittidae,acanthisitta,4,0,0,1
385555,invertebrate,0,0,1,3410, Acanthocardia tuberculata,eukaryota,animalia,mollusca,bivalvia,cardiida,cardiidae,acanthocardia,0,2,1,2
267130,vertebrate,1,0,1,3193, Acanthogobius hasta,eukaryota,animalia,chordata,actinopterygii,perciformes,gobiidae,acanthogobius,3,3,1,1
8177,vertebrate,1,0,1,2627, Acanthopagrus latus,eukaryota,animalia,chordata,actinopterygii,perciformes,sparidae,acanthopagrus,3,3,1,0
175431,vertebrate,1,0,1,7618, Acanthurus nigricans,eukaryota,animalia,chordata,actinopterygii,perciformes,acanthuridae,acanthurus,3,3,0,0
175435,vertebrate,1,0,1,10442, Acanthurus triostegus,eukaryota,animalia,chordata,actinopterygii,perciformes,acanthuridae,acanthurus,3,4,1,0
357281,vertebrate,1,0,1,3201, Acantopsis choirorhynchos,eukaryota,animalia,chordata,actinopterygii,cypriniformes,cobitidae,acantopsis,1,3,0,1
80789,vertebrate,1,0,1,2010, Acheilognathus typus,eukaryota,animalia,chordata,actinopterygii,cypriniformes,cyprinidae,acheilognathus,3,3,1,1
262805,invertebrate,0,0,1,2161, Achelia bituberculata,eukaryota,animalia,arthropoda,pycnogonida,pantopoda,ammotheidae,achelia,2,1,2,0
32536,mammal,1,1,1,5586, Acinonyx jubatus,eukaryota,animalia,chordata,mammalia,carnivora,felidae,acinonyx,1,0,0,1
62061,vertebrate,1,0,1,2742, Acipenser dabryanus,eukaryota,animalia,chordata,actinopterygii,acipenseriformes,acipenseridae,acipenser,3,3,1,1
7903,vertebrate,1,0,1,1663, Acipenser stellatus,eukaryota,animalia,chordata,actinopterygii,acipenseriformes,acipenseridae,acipenser,3,3,1,0
7904,vertebrate,1,0,1,1786, Acipenser transmontanus,eukaryota,animalia,chordata,actinopterygii,acipenseriformes,acipenseridae,acipenser,3,3,1,1
68483,vertebrate,1,0,1,3048, Acrocephalus orientalis,eukaryota,animalia,chordata,aves,passeriformes,acrocephalidae,acrocephalus,4,3,0,1
46287,vertebrate,1,0,1,1806, Acrochordus granulatus,eukaryota,animalia,chordata,reptilia,squamata,acrochordidae,acrochordus,1,3,0,1
70783,invertebrate,0,0,1,6121, Acropora tenuis,eukaryota,animalia,cnidaria,anthozoa,scleractinia,acroporidae,acropora,0,2,1,2
304594,vertebrate,1,0,1,9435, Adelomyia melanogenys,eukaryota,animalia,chordata,aves,apodiformes,trochilidae,adelomyia,4,3,0,0
85585,invertebrate,0,0,1,3010, Adoxophyes honmai,eukaryota,animalia,arthropoda,insecta,lepidoptera,tortricidae,adoxophyes,2,1,2,0
7160,invertebrate,0,0,1,3119, Aedes albopictus,eukaryota,animalia,arthropoda,insecta,diptera,culicidae,aedes,2,1,2,0
4493,plant,0,0,1,1057, Aegilops columnaris,eukaryota,plantae,tracheophyta,liliopsida,poales,poaceae,aegilops,0,4,1,0
73327,vertebrate,1,0,1,2617, Aegithalos caudatus,eukaryota,animalia,chordata,aves,passeriformes,aegithalidae,aegithalos,4,3,0,1
270546,vertebrate,1,0,1,1784, Aeoliscus strigatus,eukaryota,animalia,chordata,actinopterygii,syngnathiformes,centriscidae,aeoliscus,3,3,1,2
9897,mammal,1,1,1,1438, Aepyceros melampus,eukaryota,animalia,chordata,mammalia,artiodactyla,bovidae,aepyceros,1,0,0,1
46479,vertebrate,1,0,1,1523, Aerodramus fuciphagus vestitus,eukaryota,animalia,chordata,aves,apodiformes,apodidae,aerodramus,4,4,0,0
207698,vertebrate,1,0,1,2284, Aerodramus maximus lowi,eukaryota,animalia,chordata,aves,apodiformes,apodidae,aerodramus,4,3,0,0
172677,vertebrate,1,0,1,1902, Afrotis afraoides,eukaryota,animalia,chordata,aves,otidiformes,otididae,afrotis,4,3,0,0
390897,invertebrate,0,0,1,2849, Agamermis sp. BH-2006,eukaryota,animalia,nematoda,enoplea,mermithida,mermithidae,agamermis,2,1,2,0
367765,invertebrate,0,0,1,3871, Agaricia humilis,eukaryota,animalia,cnidaria,anthozoa,scleractinia,agariciidae,agaricia,0,2,1,2
8715,vertebrate,1,0,1,2838, Agkistrodon piscivorus,eukaryota,animalia,chordata,reptilia,squamata,viperidae,agkistrodon,1,0,0,1
5400,plant,0,0,1,5481, Agrocybe aegerita,,fungi,basidiomycota,agaricomycetes,agaricales,tubariaceae,cyclocybe,2,1,2,0
9646,mammal,1,1,1,7656, Ailuropoda melanoleuca,eukaryota,animalia,chordata,mammalia,carnivora,ursidae,ailuropoda,1,0,0,1
9649,mammal,1,1,1,6077, Ailurus fulgens,eukaryota,animalia,chordata,mammalia,carnivora,ailuridae,ailurus,1,0,0,1
424585,mammal,1,1,1,2970, Ailurus fulgens styani,eukaryota,animalia,chordata,mammalia,carnivora,ailuridae,ailurus,1,0,0,1
10070,rodent,1,1,1,1139, Akodon aerosus,eukaryota,animalia,chordata,mammalia,rodentia,cricetidae,akodon,1,4,0,0
29095,rodent,1,1,1,1139, Akodon azarae,eukaryota,animalia,chordata,mammalia,rodentia,cricetidae,akodon,1,3,0,1
106112,rodent,1,1,1,1519, Akodon montensis,eukaryota,animalia,chordata,mammalia,rodentia,cricetidae,akodon,1,4,0,0
29099,rodent,1,1,1,1137, Akodon orophilus,eukaryota,animalia,chordata,mammalia,rodentia,cricetidae,akodon,1,3,0,1
42349,invertebrate,0,0,1,3568, Albinaria caerulea,eukaryota,animalia,mollusca,gastropoda,stylommatophora,clausiliidae,albinaria,2,1,2,0
121402,vertebrate,1,0,1,2014, Albula glossodonta,eukaryota,animalia,chordata,actinopterygii,albuliformes,albulidae,albula,0,2,1,2
54556,vertebrate,1,0,1,2937, Alburnus alburnus,eukaryota,animalia,chordata,actinopterygii,cypriniformes,cyprinidae,alburnus,3,3,1,2
433951,vertebrate,1,0,1,1041, Alcippe morrisonia davidi,eukaryota,animalia,chordata,aves,passeriformes,timaliidae,alcippe,4,0,0,1
433952,vertebrate,1,0,1,2082, Alcippe morrisonia fratercula,eukaryota,animalia,chordata,aves,passeriformes,timaliidae,alcippe,4,3,0,1
433953,vertebrate,1,0,1,2776, Alcippe morrisonia hueti,eukaryota,animalia,chordata,aves,passeriformes,timaliidae,alcippe,4,3,0,1
204883,vertebrate,1,0,1,2429, Alcippe morrisonia morrisonia,eukaryota,animalia,chordata,aves,passeriformes,timaliidae,alcippe,4,0,0,1
433954,vertebrate,1,0,1,2082, Alcippe morrisonia rufescentior,eukaryota,animalia,chordata,aves,passeriformes,timaliidae,alcippe,4,3,0,1
204882,vertebrate,1,0,1,3123, Alcippe morrisonia schaefferi,eukaryota,animalia,chordata,aves,passeriformes,timaliidae,alcippe,4,0,0,1
143900,vertebrate,1,0,1,1788, Aldrovandia affinis,eukaryota,animalia,chordata,actinopterygii,notacanthiformes,halosauridae,aldrovandia,1,3,0,1
81907,vertebrate,1,0,1,4445, Alectura lathami,eukaryota,animalia,chordata,aves,galliformes,megapodiidae,alectura,4,0,1,1
170189,vertebrate,1,0,1,1784, Alepocephalus tenebrosus,eukaryota,animalia,chordata,actinopterygii,osmeriformes,alepocephalidae,alepocephalus,3,4,1,0
